,zcr_mean,zcr_std,rms_mean,rms_std,rf30_mean,rf30_std,rf50_mean,rf50_std,rf70_mean,rf70_std,rf85_mean,rf85_std,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,sentiment
3,0.21642852247807018,0.14727000810204124,0.09046541154384613,0.06735526025295258,1831.077816611842,1736.574013404028,2748.1278268914475,1931.967345673181,3850.2878289473683,3850.2878289473683,5310.956774259868,5310.956774259868,-249.9822704456248,32.73418875223924,-40.41922530856146,6.832527084902634,-9.704352122908674,-8.742479176620384,-15.24612628951431,-7.538527161271141,-23.149094949527246,5.028002429888751,-9.110406891889317,9.163664253692867,21.769926336227915,89.47764480244415,49.88877082715964,50.441168777638175,20.13759013311661,18.200319630961065,19.89401373208231,14.471556620732892,19.037937776910653,17.612611852259107,12.097798151635645,15.031362698620699,19.56246544667064,19.82173804333091,happiness
4,0.13966587611607142,0.11694364932478848,0.0795883759856224,0.04131925478577614,1073.583984375,1265.353350096518,1959.521484375,1800.046391559847,3116.93115234375,3116.93115234375,4949.560546875,4949.560546875,-239.2014210589879,48.35014777547747,-32.45136412879655,-17.869569371590213,-32.739792552775576,-33.192301737325025,-23.712431846456628,-25.217108447122744,-42.62480414451089,-15.322031627671125,-26.24056295033837,-10.838527722930356,-16.595927375646667,84.46105646539137,51.42794500562039,33.806615659681945,24.16140385547199,19.75011817450557,18.243779744383612,18.5957866140305,12.448552616565898,15.030585061889731,10.221898009625411,9.174598626520183,10.819782846158056,9.403982992752681,happiness
5,0.16362600615530304,0.14559212579339284,0.061158787459135056,0.047972481697797775,1266.543856534091,1711.9867404069091,2079.5854048295455,1967.5327712213664,2995.235928622159,2995.235928622159,4243.672318892045,4243.672318892045,-290.7881164026228,68.91746556034163,-23.384155594216022,12.565322930476897,-10.350713334344094,-21.500201293394404,-12.858830362765364,-10.430047372837443,-12.636471950223589,4.200594247103718,-6.868806387948591,9.861348283570274,12.348950059465052,88.23333685115017,60.722263981916434,34.71474297008573,33.421996184914036,24.65106867203977,26.628503818569325,20.19985961081938,17.1154274908014,13.981474431287264,14.846228242500409,15.287612545009472,20.426407318273228,18.623972176191877,happiness
6,0.13728994693396226,0.10306384969279297,0.1277776062488556,0.06397470831871033,1012.8731205778302,1215.4737138543053,1749.6743256191037,1624.1041070357767,2901.497549380896,2901.497549380896,4360.067345961085,4360.067345961085,-184.97791683355652,80.07777261269264,-18.428529581964213,23.55242042499907,3.031166796079643,-18.572101105452703,-5.991165993227443,-5.014582054131889,-14.587178473414578,1.987754642412761,-12.972471595801418,-6.491111745014637,-4.434577053603903,76.20961874472783,49.47520483105547,31.84669841840899,23.965828582538055,14.666966253038941,24.500264020202472,16.25724942490148,18.419467758405435,10.079997159095857,9.74473532383295,8.989637009863491,6.982268361804076,8.00692828836176,happiness
7,0.10272216796875,0.0981484260018249,0.1030929908156395,0.05601317062973976,781.3262939453125,932.2109744950387,1389.48974609375,1358.8743245871708,2515.7958984375,2515.7958984375,3825.433349609375,3825.433349609375,-230.06539798397574,79.86729328575962,-41.086763238263586,-7.1316475309536305,-28.176733738647926,-37.052567022848265,-16.02332994751129,-22.477910572459407,-38.74840683140289,-8.526026739574156,-28.654568897185115,-12.288701437538352,-15.080048014892741,76.36044118096451,43.40655950478672,36.970940248477135,18.48591688329767,21.36918786956918,22.880691354920355,17.188566549968282,12.040414564823337,13.986127736785757,14.045891755110382,12.777815268478491,8.88699867378935,8.457372452767093,happiness
8,0.1270693824404762,0.1153042220669688,0.061493050307035446,0.04087546467781067,973.223876953125,1295.5228438469387,1795.330810546875,1960.237489613616,2944.66552734375,2944.66552734375,4773.44970703125,4773.44970703125,-272.40718520409774,76.81329193358695,-4.639237789352604,-21.370809711983572,-14.152606525091068,-12.291423572823016,-28.22567608113538,-9.394610064532033,-37.868312740782685,-22.211260187079034,-9.775237058750164,-4.210489905325758,-8.691628138722347,101.94115552092026,61.60487432685208,30.874967968537245,26.24263448661985,28.68844266003627,22.164717319739253,22.16271808794668,21.450495612304397,18.874378215634266,16.65380010575537,12.931504577907132,13.40685058285635,10.957054768960266,happiness
9,0.16328761888586957,0.14225129323883473,0.0730089619755745,0.05713968351483345,1352.8468919836957,1603.0933500019162,2474.445906929348,1989.0965307612285,4040.8694059952445,4040.8694059952445,6239.479662024457,6239.479662024457,-233.563760677912,39.36412321322243,0.4534142931430249,-3.395125495067908,-15.773736525996627,-2.72969231080465,-27.81242175749987,-10.717704023976774,-24.398321793276796,-21.086738402391855,-15.138592989208053,-7.635335736257735,-14.968723199946183,92.48467306173859,53.00899121998963,30.124063690683826,31.39169976974336,28.06779821693275,13.602402778538643,19.3846759049092,14.139401228835967,16.54373807251297,14.257922732225893,13.252573709829981,8.312781547005285,9.797856625426535,happiness
10,0.12196138822115385,0.1413459784318523,0.038686737418174744,0.03926630690693855,953.5896183894231,1409.4406977347196,1547.6575646033655,1752.0444271721185,2457.7666766826924,2457.7666766826924,3615.093524639423,3615.093524639423,-341.2799949609356,64.06155587500476,-19.343507517753775,6.509106577152877,1.2093550905479713,-26.245917604407847,-20.34628337599798,-16.17055132090335,-31.42388960265725,-15.071928269350344,-17.979097963409473,-6.866598259209195,-11.488760304725727,96.74182092849226,51.62782907414374,35.94535240910441,33.051479900145914,19.527436524853567,20.89739509187358,18.802553035791085,12.832082956070561,17.662715130159917,16.281069843975644,14.62706766326942,11.064353812277377,10.31674813521508,happiness
11,0.147490234375,0.140431093593556,0.1134989932179451,0.04771602898836136,1182.81884765625,1393.5094071541396,1984.71533203125,1937.6348772011302,3214.4765625,3214.4765625,4379.63818359375,4379.63818359375,-194.43539824308132,62.35839073467339,-41.69157155978506,2.2217782223214937,-19.653144437259094,-40.22016912780295,-32.39766860212937,-18.939195266113902,-43.61617635546665,-12.620472803409774,-32.73696607578693,-12.909136599547482,-7.570703781414851,57.22622290303659,58.86667103878766,34.07555689499675,23.66219168753637,18.184392389562515,21.883503374031058,18.363726615952945,12.781284137692253,13.999762621926402,13.03170163254333,12.89508276406,9.53220244567467,10.85537950880684,happiness
12,0.18256041061046513,0.16465034518241245,0.10325551778078079,0.057910770177841187,1692.3595339752908,1895.678936543514,2506.865461482558,2280.995364271098,4112.841796875,4112.841796875,6649.252816133721,6649.252816133721,-206.15718755427386,27.853721735768474,1.5903086046527946,-11.967819075503723,-18.606820478637538,-4.242356367363911,-31.62867013187507,-8.001158422583739,-34.73349918555252,-22.972275353692467,-9.752214464672448,-13.004112925254253,-22.207946633604895,78.510435975647,63.77050880503523,25.254859296725222,29.398972664081096,23.56194951779932,17.700199962870187,21.926619435257003,11.249459766039847,19.72410222705204,17.913854048108618,18.595540547966195,10.204995445934605,10.210206295578582,happiness
